Pirate Rob's Swashbuckling Rogues,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Down Under,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Melissa Jess,Pass,Christopher Keates,Pass,Rob Ives,Pass,Lissa Greenspoon,Pass,Greg Cormier,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,,,
,O+,Christopher Keates,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Krys Kudakiewicz,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Rob Ives,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Lissa Greenspoon,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Melissa Jess,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Megan Berry,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Alec Clark,D+,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Mark Donahue,D+,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Patrick Kenzie,D+,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Stephen Close,D+,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Hope Celani,D+,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Wynne Gee,D+,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Rob Ives,Pass,Graham Brown,Pass,Rob Ives,Pass,Krys Kudakiewicz,Pass,Lissa Greenspoon,Pass,Megan Berry,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Mehmet Karman,Pass,Kris Bergmann,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Dan Thomson,D-,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Kris Bergmann,D-,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mehmet Karman,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Trevor Stocki,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Alison Ward,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Andrea Proulx,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Christopher Keates,Pass,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Stephen Close,Pass,Alec Clark,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Brent Burton,D+,Alec Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Chris Sullivan,D+,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Christopher Keates,D+,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Rob Ives,D+,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Lissa Greenspoon,D+,Hope Celani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Melissa Jess,D+,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Chris Sullivan,Pass,Graham Brown,Pass,Megan Berry,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Chris Sullivan,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Graham Brown,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Krys Kudakiewicz,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Megan Berry,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Melissa Jess,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Alec Clark,Pass,Wynne Gee,Pass,Stephen Close,Pass,Mark Donahue,Pass,Stephen Close,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Christopher Keates,Pass,Graham Brown,Pass,Chris Sullivan,Pass,Greg Cormier,Pass,Graham Brown,Pass,Lissa Greenspoon,Pass,Chris Sullivan,Pass,Christopher Keates,Pass,Chris Sullivan,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Alison Ward,Pass,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Greg Cormier,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Chris Sullivan,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Christopher Keates,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Graham Brown,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Lissa Greenspoon,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Melissa Jess,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Hope Celani,Pass,Stephen Close,Pass,Alec Clark,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Lissa Greenspoon,Pass,Graham Brown,Pass,Greg Cormier,Pass,Christopher Keates,Pass,Krys Kudakiewicz,Pass,Graham Brown,Pass,Christopher Keates,,,,,,,,,,,,,,,,,,
,O+,Christopher Keates,D-,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Graham Brown,D-,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Krys Kudakiewicz,D-,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Lissa Greenspoon,D-,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Megan Berry,D-,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Mark Donahue,Pass,Patrick Kenzie,Pass,Mark Donahue,Pass,Stephen Close,Pass,Wynne Gee,Pass,Patrick Kenzie,Pass,Stephen Close,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Melissa Jess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Megan Berry,Pass,Graham Brown,Pass,Megan Berry,Pass,Rob Ives,Pass,Christopher Keates,Pass,Krys Kudakiewicz,Pass,Megan Berry,Pass,Rob Ives,,,,,,,,,,,,,,,,
,D,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Dan Thomson,Pass,Mehmet Karman,Pass,Kris Bergmann,Pass,Andrea Proulx,Pass,Alison Ward,Pass,Andrea Proulx,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,
,O-,Christopher Keates,D+,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Krys Kudakiewicz,D+,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Rob Ives,D+,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Megan Berry,D+,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Melissa Jess,D+,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Chris Sullivan,Pass,Megan Berry,Pass,Brent Burton,Pass,Chris Sullivan,Pass,Brent Burton,Pass,Chris Sullivan,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Alec Clark,Pass,Mark Donahue,Pass,Hope Celani,Pass,Wynne Gee,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,
,O-,Brent Burton,D+,Alec Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Chris Sullivan,D+,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Christopher Keates,D+,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Greg Cormier,D+,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Lissa Greenspoon,D+,Hope Celani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Megan Berry,D+,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Brent Burton,Pass,Rob Ives,Pass,Brent Burton,Pass,Graham Brown,Pass,Brent Burton,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Kris Bergmann,Pass,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Rob Ives,Pass,Graham Brown,Pass,Krys Kudakiewicz,Pass,Rob Ives,Pass,Graham Brown,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Dan Thomson,Pass,Kris Bergmann,Pass,Dan Thomson,Pass,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Brent Burton,D+,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Krys Kudakiewicz,D+,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
